DBN,School,Year,Total Enrollment,Num_PK,Num_K,Num_G1,Num_G2,Num_G3,Num_G4,Num_G5,Num_G6,Num_G7,Num_G8,Num_G9,Num_G10,Num_G11,Num_G12,Female,Male,Asian,Black,Hispanic,Multiple,White,Disability,ELL,Poverty,Need_Index
01M315,The East Village Community School,2015-16,299,36,49,50,47,45,45,27,0,0,0,0,0,0,0,0.481605351,0.518394649,0.093645483,0.086956523,0.207357854,0.063545153,0.548494995,0.19732441,0.006688963,0.220735788,0.267293215
01M315,The East Village Community School,2016-17,315,36,48,49,49,44,47,42,0,0,0,0,0,0,0,0.492063493,0.507936537,0.101587303,0.053968254,0.193650797,0.06666667,0.584127009,0.187301591,0.012698413,0.225396827,0.260253966
01M315,The East Village Community School,2017-18,318,36,46,50,50,48,40,48,0,0,0,0,0,0,0,0.506289303,0.493710697,0.100628927,0.053459119,0.201257855,0.069182388,0.575471699,0.176100627,0.012578616,0.270440251,0.369216979
01M315,The East Village Community School,2018-19,333,36,50,49,50,50,53,45,0,0,0,0,0,0,0,0.522522509,0.477477491,0.096096098,0.045045044,0.231231228,0.054054055,0.573573589,0.156156152,0.015015015,0.270270258,0.343468457
01M332,University Neighborhood Middle School,2014-15,86,0,0,0,0,0,0,0,31,24,31,0,0,0,0,0.465116292,0.534883738,0.046511628,0.209302321,0.662790716,0.034883723,0.046511628,0.40697673,0.127906978,0.872093022,0.769224405
01M332,University Neighborhood Middle School,2015-16,110,0,0,0,0,0,0,0,39,35,36,0,0,0,0,0.445454538,0.554545462,0.054545455,0.272727281,0.627272725,0.009090909,0.036363635,0.390909106,0.145454541,0.872727275,0.73199302
01M332,University Neighborhood Middle School,2016-17,234,0,0,0,0,0,0,0,67,77,90,0,0,0,0,0.43589744,0.56410259,0.094017096,0.286324799,0.568376064,0.004273504,0.047008548,0.465811968,0.0982906,0.876068354,0.801491439
01M332,University Neighborhood Middle School,2017-18,203,0,0,0,0,0,0,0,69,65,69,0,0,0,0,0.433497548,0.566502452,0.088669948,0.23152709,0.630541861,0.009852217,0.039408866,0.438423634,0.054187194,0.886699498,0.848403931
01M332,University Neighborhood Middle School,2018-19,209,0,0,0,0,0,0,0,69,77,63,0,0,0,0,0.430622011,0.569378018,0.086124405,0.196172252,0.626794279,0.009569378,0.081339709,0.440191388,0.033492822,0.842105269,0.807952166
01M361,The Children's Workshop School,2014-15,255,34,44,40,34,27,41,35,0,0,0,0,0,0,0,0.509803951,0.490196079,0.113725491,0.113725491,0.360784322,0.015686275,0.396078438,0.239215687,0.050980393,0.466666669,0.418982297
01M361,The Children's Workshop School,2015-16,267,33,47,46,39,33,26,43,0,0,0,0,0,0,0,0.483146071,0.516853929,0.101123594,0.104868911,0.389513105,0.02247191,0.38202247,0.243445694,0.067415729,0.479400754,0.423366845
01M361,The Children's Workshop School,2016-17,295,35,59,55,48,35,35,28,0,0,0,0,0,0,0,0.474576265,0.525423706,0.101694912,0.098305084,0.386440665,0.047457628,0.366101682,0.227118641,0.040677965,0.481355935,0.45641017
01M361,The Children's Workshop School,2017-18,315,36,57,61,48,46,35,32,0,0,0,0,0,0,0,0.463492066,0.536507964,0.0984127,0.092063494,0.3936508,0.063492067,0.352380961,0.231746033,0.028571429,0.45714286,0.50522542
01M361,The Children's Workshop School,2018-19,320,36,54,47,55,43,48,37,0,0,0,0,0,0,0,0.465624988,0.534375012,0.096874997,0.103124999,0.396874994,0.053125001,0.349999994,0.234375,0.034375001,0.481249988,0.524884403
01M363,Neighborhood School,2014-15,302,16,63,39,42,37,53,52,0,0,0,0,0,0,0,0.476821184,0.523178816,0.072847679,0.14900662,0.28807947,0.013245033,0.476821184,0.258278131,0.043046359,0.400662243,0.406603456
01M363,Neighborhood School,2015-16,313,16,58,62,38,44,39,56,0,0,0,0,0,0,0,0.456869006,0.543130994,0.054313101,0.127795532,0.341853023,0.025559105,0.450479239,0.246006384,0.03514377,0.389776349,0.397034287
01M363,Neighborhood School,2016-17,304,18,58,51,56,44,43,34,0,0,0,0,0,0,0,0.486842096,0.513157904,0.049342107,0.108552635,0.345394731,0.029605264,0.467105269,0.226973683,0.032894738,0.398026317,0.398539484
01M363,Neighborhood School,2017-18,304,18,56,50,49,51,43,37,0,0,0,0,0,0,0,0.490131587,0.509868443,0.0625,0.092105262,0.348684222,0.03618421,0.460526317,0.226973683,0.032894738,0.4375,0.477907896
01M363,Neighborhood School,2018-19,306,36,39,59,40,48,44,40,0,0,0,0,0,0,0,0.473856211,0.526143789,0.068627454,0.088235296,0.375817001,0.045751635,0.421568632,0.225490198,0.013071896,0.405228764,0.450300664
01M364,Earth School,2014-15,321,18,56,51,48,44,55,49,0,0,0,0,0,0,0,0.498442382,0.501557648,0.074766353,0.140186921,0.339563876,0.065420561,0.380062312,0.230529591,0.046728972,0.433021814,0.413484544
01M364,Earth School,2015-16,340,36,50,53,48,49,48,56,0,0,0,0,0,0,0,0.479411751,0.520588219,0.073529415,0.126470596,0.352941185,0.073529415,0.373529404,0.25,0.055882353,0.461764693,0.413571507
01M364,Earth School,2016-17,331,36,48,48,56,48,49,46,0,0,0,0,0,0,0,0.492447138,0.507552862,0.060422961,0.129909366,0.341389716,0.084592149,0.383685797,0.256797582,0.051359516,0.495468289,0.448386699
01M364,Earth School,2017-18,355,35,62,53,47,55,51,52,0,0,0,0,0,0,0,0.453521132,0.546478868,0.067605637,0.112676054,0.391549289,0.087323941,0.340845078,0.290140837,0.059154928,0.546478868,0.55385071
01M364,Earth School,2018-19,350,36,61,54,48,48,57,46,0,0,0,0,0,0,0,0.448571414,0.551428556,0.071428575,0.108571425,0.402857155,0.079999998,0.337142855,0.265714288,0.059999999,0.557142854,0.567882836
01M378,School for Global Leaders,2014-15,235,0,0,0,0,0,0,0,81,76,78,0,0,0,0,0.446808517,0.553191483,0.161702126,0.22978723,0.561702132,0.021276595,0.025531914,0.327659577,0.136170208,0.723404229,0.763170123
01M378,School for Global Leaders,2015-16,264,0,0,0,0,0,0,0,100,84,80,0,0,0,0,0.443181813,0.556818187,0.151515156,0.223484844,0.583333313,0.022727273,0.018939395,0.333333343,0.075757578,0.693181813,0.757834196
01M378,School for Global Leaders,2016-17,283,0,0,0,0,0,0,0,101,97,85,0,0,0,0,0.445229679,0.554770291,0.144876331,0.272084802,0.551236749,0.014134276,0.017667845,0.363957584,0.102473497,0.689045966,0.745554745
01M378,School for Global Leaders,2017-18,256,0,0,0,0,0,0,0,70,90,96,0,0,0,0,0.43359375,0.56640625,0.13671875,0.2734375,0.56640625,0.0078125,0.015625,0.390625,0.08984375,0.828125,0.853199244
01M378,School for Global Leaders,2018-19,250,0,0,0,0,0,0,0,63,86,101,0,0,0,0,0.412,0.588,0.128000006,0.236000001,0.56400001,0.032000002,0.039999999,0.379999995,0.100000001,0.843999982,0.843271971
01M448,University Neighborhood High School,2014-15,304,0,0,0,0,0,0,0,0,0,0,102,100,51,51,0.378289461,0.621710539,0.302631587,0.243421048,0.411184222,0.006578947,0.03618421,0.220394731,0.194078952,0.894736826,0.818700671
01M448,University Neighborhood High School,2015-16,343,0,0,0,0,0,0,0,0,0,0,120,105,69,49,0.431486875,0.568513095,0.279883385,0.271137029,0.413994163,0.005830904,0.029154519,0.198250726,0.137026235,0.883381903,0.766233265
01M448,University Neighborhood High School,2016-17,392,0,0,0,0,0,0,0,0,0,0,136,111,78,67,0.448979586,0.551020384,0.303571433,0.239795923,0.423469394,0.005102041,0.028061224,0.147959188,0.089285716,0.895408154,0.752502561
